version_title,state,open_issues,closed_issues,created_at,due_on,closed_at,description
v1.0,closed,0,817,2015-02-06 20:27:16+00:00,,2015-08-07 02:29:29+00:00,description
v1.0-candidate,closed,0,89,2015-04-27 19:03:36+00:00,,2015-07-23 05:50:52+00:00,description
next-candidate,open,17,606,2016-01-16 17:58:20+00:00,,,description
v1.4,closed,0,1404,2016-05-19 18:50:19+00:00,,2019-08-26 17:23:33+00:00,description
v1.5,closed,0,1412,2016-08-16 21:47:28+00:00,,2019-08-26 17:22:47+00:00,
UX Backlog - Stack Ranked,closed,0,33,2016-08-22 20:06:54+00:00,,2017-09-01 19:56:20+00:00,Closed by @calebamiles after talking with @pwittrock please contact calebamiles (on Slack) with complaints
v1.4-nonblocking,closed,1,34,2016-09-08 00:59:53+00:00,,2016-10-08 14:39:49+00:00,
v1.4-flakes,closed,0,1,2016-09-08 01:54:14+00:00,,2016-10-08 14:40:02+00:00,
1.4-Federation,closed,0,2,2016-09-22 14:54:05+00:00,,2016-10-08 14:40:19+00:00,
1.6,closed,0,0,2017-01-19 21:27:19+00:00,,2017-02-13 23:33:36+00:00,DO NOT USE. Use `v1.6` milestone
v1.12,closed,0,442,2017-11-15 06:32:51+00:00,,2019-08-26 17:22:28+00:00,
v1.13,closed,0,462,2017-11-15 06:32:59+00:00,,2020-08-23 05:01:14+00:00,
v1.14,closed,0,610,2018-10-19 11:05:25+00:00,,2020-08-23 05:01:17+00:00,
v1.15,closed,0,463,2018-12-19 15:58:01+00:00,,2020-08-23 05:01:19+00:00,
v1.17,closed,0,1712,2019-01-21 20:12:05+00:00,,2023-08-10 15:31:52+00:00,
v1.18,closed,0,1901,2019-01-31 15:17:22+00:00,,2023-08-10 15:31:55+00:00,
v1.16,closed,0,1363,2019-01-31 15:17:37+00:00,,2023-08-10 15:31:57+00:00,
v1.19,closed,0,2187,2019-08-26 17:08:39+00:00,,2023-08-10 15:31:59+00:00,
v2.0,closed,0,1,2019-10-03 21:35:04+00:00,,2020-08-23 05:01:08+00:00,
v1.20,closed,0,1493,2020-04-14 15:16:42+00:00,,2023-08-10 15:32:12+00:00,
v1.21,closed,0,1783,2020-04-14 15:16:49+00:00,,2023-08-10 15:32:06+00:00,
v1.22,closed,0,1651,2020-04-24 21:29:11+00:00,,2023-08-10 15:32:08+00:00,
v1.20-phase-doc-cleanup,closed,0,0,2020-08-26 23:23:58+00:00,,2020-08-27 15:14:50+00:00,
v1.20-phase-bug,closed,0,0,2020-08-26 23:24:13+00:00,,2020-09-10 15:22:43+00:00,
v1.20-phase-failing-test,closed,0,0,2020-08-26 23:59:40+00:00,,2020-08-27 15:07:53+00:00,
