title,state,open_issues,closed_issues,created_at,due_on,closed_at
Backlog,open,4956,10122,2015-11-15 10:30:19+00:00,,
Nov 2015 - end,closed,0,6,2015-11-16 17:50:18+00:00,,2015-12-02 06:47:43+00:00
Feb 2016,closed,0,336,2016-01-18 10:26:06+00:00,,2016-03-09 15:09:51+00:00
May 9th Stable,closed,0,3,2016-05-09 07:22:55+00:00,,2016-05-12 15:17:51+00:00
May 13th Stable Recovery,closed,0,2,2016-05-13 07:21:16+00:00,,2016-05-17 12:54:46+00:00
June 13th Stable Recovery,closed,0,10,2016-06-13 07:31:51+00:00,,2016-06-16 09:14:32+00:00
On Deck,open,769,983,2016-08-19 16:02:12+00:00,,
January Recovery 2017,closed,0,15,2017-02-03 01:51:28+00:00,,2017-02-19 08:41:36+00:00
February Recovery 2017,closed,0,15,2017-03-01 22:03:27+00:00,,2017-03-09 12:55:24+00:00
March Recovery 2017 (1),closed,0,2,2017-04-06 08:03:41+00:00,,2017-04-07 07:39:45+00:00
April Recovery 2017,closed,0,6,2017-05-05 05:06:12+00:00,,2017-05-16 04:34:27+00:00
June Recovery 2017,closed,0,10,2017-07-05 22:58:49+00:00,,2017-07-19 21:37:37+00:00
June Recovery 2017 (2),closed,0,6,2017-07-19 17:35:16+00:00,,2017-07-21 01:28:57+00:00
July Recovery 2017,closed,0,8,2017-08-11 20:05:00+00:00,,2017-08-17 09:03:38+00:00
August Recovery 2017,closed,0,6,2017-09-08 18:12:49+00:00,,2017-09-18 07:22:55+00:00
November 2017,closed,0,659,2017-10-02 16:02:01+00:00,,2017-12-18 09:39:41+00:00
September Recovery 2017,closed,0,11,2017-10-05 21:20:27+00:00,,2017-10-12 14:45:48+00:00
September Recovery #2 2017,closed,0,6,2017-10-12 14:42:50+00:00,,2017-10-18 08:10:36+00:00
November Recovery #2 2017,closed,0,3,2018-01-10 00:39:05+00:00,,2018-01-12 07:09:26+00:00
November Recovery #3 2017,closed,0,1,2018-01-25 09:46:52+00:00,,2018-01-29 09:55:49+00:00
January 2018 Recovery ,closed,0,13,2018-02-07 22:52:46+00:00,,2018-02-17 08:18:35+00:00
February Recovery 2018,closed,0,7,2018-03-07 21:32:56+00:00,,2018-03-16 06:06:18+00:00
May 2018,closed,0,507,2018-04-03 01:16:18+00:00,,2018-06-07 05:12:57+00:00
March Recovery 2018,closed,0,8,2018-04-09 07:20:00+00:00,,2018-04-19 13:15:46+00:00
May 2018 Recovery,closed,0,8,2018-06-07 12:28:46+00:00,,2018-06-18 04:41:55+00:00
June Recovery 2018,closed,0,6,2018-07-06 14:59:55+00:00,,2018-08-02 12:27:04+00:00
September 2018,closed,0,753,2018-07-20 07:00:42+00:00,,2018-10-09 13:19:15+00:00
July Recovery 2018,closed,0,10,2018-08-10 00:36:54+00:00,,2018-08-20 16:54:20+00:00
August Recovery 2018,closed,0,7,2018-09-05 20:22:48+00:00,,2018-09-14 06:37:31+00:00
October 2018,closed,0,582,2018-09-10 14:15:00+00:00,,2018-11-12 19:17:21+00:00
September Recovery 2018,closed,0,5,2018-10-06 18:15:51+00:00,,2018-10-14 09:58:54+00:00
"September Recovery 2, 2018 ",closed,0,8,2018-10-11 18:47:05+00:00,,2018-10-17 23:22:54+00:00
November 2018,closed,0,458,2018-10-15 14:34:57+00:00,,2018-12-13 14:45:51+00:00
October 2018 Recovery,closed,0,6,2018-11-12 19:17:34+00:00,,2018-11-18 11:24:31+00:00
December/January 2019,closed,0,858,2018-11-14 16:55:37+00:00,,2019-02-07 15:24:47+00:00
November 2018 Recovery,closed,0,8,2018-12-13 09:49:21+00:00,,2019-01-07 22:25:31+00:00
November 2018 Recovery 2,closed,0,5,2019-01-07 19:20:39+00:00,,2019-01-08 17:43:17+00:00
February 2019,closed,0,403,2019-01-08 11:58:31+00:00,,2019-03-08 16:44:26+00:00
January 2019 Recovery,closed,0,12,2019-02-04 15:20:08+00:00,,2019-02-13 11:50:56+00:00
May 2019,closed,0,302,2019-03-04 14:27:09+00:00,,2019-06-07 16:19:47+00:00
February 2019 Recovery,closed,0,1,2019-03-07 23:17:20+00:00,,2019-03-08 16:44:10+00:00
February 2019 Recovery 2,closed,0,8,2019-03-08 01:56:51+00:00,,2019-03-14 00:00:56+00:00
April 2019,closed,0,299,2019-03-13 10:49:58+00:00,,2019-05-23 10:44:25+00:00
February 2019 Recovery 3,closed,0,1,2019-03-14 21:43:34+00:00,,2019-03-15 07:03:34+00:00
March 2019 Recovery,closed,0,8,2019-04-05 01:09:59+00:00,,2019-04-23 06:47:44+00:00
June 2019,closed,0,343,2019-05-22 18:26:14+00:00,,2019-07-03 23:49:59+00:00
May 2019 Recovery,closed,0,2,2019-06-07 15:59:30+00:00,,2019-06-13 22:45:29+00:00
July 2019,closed,0,495,2019-06-12 23:55:16+00:00,,2019-08-09 05:54:49+00:00
August 2019,closed,0,490,2019-07-03 23:48:36+00:00,,2019-09-04 18:14:29+00:00
June 2019 Recovery,closed,0,32,2019-07-04 07:27:20+00:00,,2019-07-10 15:30:23+00:00
September 2019,closed,0,456,2019-08-05 16:19:47+00:00,,2019-10-10 23:41:02+00:00
July 2019 Recovery,closed,0,17,2019-08-09 21:14:32+00:00,,2019-08-16 04:39:11+00:00
October 2019,closed,0,636,2019-08-26 23:48:31+00:00,,2019-11-08 03:43:18+00:00
August Recovery 2019,closed,0,15,2019-09-04 18:14:43+00:00,,2019-09-14 17:36:54+00:00
November 2019,closed,0,638,2019-10-07 08:50:10+00:00,,2020-01-06 11:24:14+00:00
September 2019 Recovery 2,closed,0,27,2019-10-09 12:55:03+00:00,,2019-10-16 13:45:36+00:00
September 2019 Recovery,closed,0,2,2019-10-10 23:42:39+00:00,,2019-10-11 09:17:09+00:00
Backlog Candidates,open,136,5684,2019-10-23 04:47:41+00:00,,
October 2019 Recovery,closed,0,23,2019-11-07 18:44:44+00:00,,2019-11-14 08:09:14+00:00
October 2019 Recovery 2,closed,0,19,2019-11-14 08:09:20+00:00,,2019-11-26 14:09:44+00:00
January 2020,closed,0,722,2019-11-18 15:37:45+00:00,,2020-02-10 09:24:25+00:00
November 2019 Recovery,closed,0,10,2019-12-16 12:59:29+00:00,,2020-01-06 11:24:18+00:00
February 2020,closed,0,599,2020-01-15 09:09:58+00:00,,2020-03-10 13:48:10+00:00
January 2020 Recovery,closed,0,7,2020-02-07 06:47:55+00:00,,2020-02-19 07:43:02+00:00
March 2020,closed,0,656,2020-02-08 19:16:28+00:00,,2020-04-09 13:27:00+00:00
April 2020,closed,0,667,2020-02-26 19:53:32+00:00,,2020-05-08 06:22:47+00:00
February 2020 Recovery,closed,0,17,2020-03-11 07:24:31+00:00,,2020-03-24 07:10:29+00:00
February 2020 Recovery 2,closed,0,5,2020-03-18 18:29:53+00:00,,2020-03-26 10:18:32+00:00
March 2020 Recovery 2,closed,0,21,2020-04-10 06:26:07+00:00,,2020-04-27 12:50:42+00:00
May 2020,closed,1,665,2020-04-11 13:33:38+00:00,,2020-06-16 13:29:23+00:00
March 2020 Recovery,closed,0,1,2020-04-14 16:24:32+00:00,,2020-04-14 17:13:36+00:00
June 2020,closed,0,546,2020-05-07 14:22:57+00:00,,2020-07-12 07:30:40+00:00
April 2020 Recovery,closed,0,13,2020-05-08 12:58:11+00:00,,2020-05-17 08:13:57+00:00
May 2020 Recovery,closed,0,18,2020-06-11 08:28:44+00:00,,2020-06-23 11:40:50+00:00
July 2020,closed,0,467,2020-06-16 05:22:06+00:00,,2020-08-17 07:14:24+00:00
May 2020 Recovery 2,closed,0,1,2020-06-24 09:33:17+00:00,,2020-07-03 13:52:03+00:00
August 2020,closed,0,460,2020-06-25 16:55:20+00:00,,2020-09-16 07:40:05+00:00
June 2020 Recovery 2,closed,0,30,2020-07-10 10:45:39+00:00,,2020-07-17 08:10:33+00:00
June 2020 Recovery 1,closed,0,1,2020-07-14 02:00:40+00:00,,2020-07-15 06:28:05+00:00
June 2020 Recovery 3,closed,0,7,2020-07-17 20:52:09+00:00,,2020-07-27 23:39:00+00:00
September 2020,closed,0,405,2020-08-05 09:24:11+00:00,,2020-10-09 14:29:44+00:00
July 2020 Recovery,closed,0,20,2020-08-14 09:21:31+00:00,,2020-08-26 08:29:19+00:00
July 2020 Recovery 2,closed,0,6,2020-08-24 21:05:16+00:00,,2020-08-26 08:29:16+00:00
August 2020 Recovery,closed,0,10,2020-09-11 11:38:54+00:00,,2020-09-21 08:09:44+00:00
October 2020,closed,0,445,2020-09-14 16:58:34+00:00,,2020-11-06 09:52:57+00:00
August 2020 Recovery 2,closed,0,3,2020-09-22 17:17:08+00:00,,2020-09-25 16:38:27+00:00
November 2020,closed,0,736,2020-10-01 06:16:01+00:00,,2020-12-16 07:32:15+00:00
August 2020 Recovery 3,closed,0,3,2020-10-02 15:34:35+00:00,,2020-10-05 10:36:52+00:00
September 2020 Recovery,closed,0,8,2020-10-10 08:35:27+00:00,,2020-10-16 10:50:10+00:00
October 2020 Recovery,closed,0,5,2020-11-06 09:53:40+00:00,,2020-11-12 07:46:39+00:00
January 2021,closed,0,747,2020-11-26 12:51:14+00:00,,2021-02-09 06:59:16+00:00
November 2020 Recovery,closed,0,7,2020-12-14 08:31:57+00:00,,2020-12-17 12:34:02+00:00
February 2021,closed,0,597,2021-01-07 18:23:10+00:00,,2021-03-05 12:55:19+00:00
January 2021 Recovery,closed,0,3,2021-02-04 23:06:29+00:00,,2021-02-10 12:46:27+00:00
March 2021,closed,0,568,2021-02-08 17:30:20+00:00,,2021-04-06 06:59:47+00:00
January 2021 Recovery 2,closed,0,30,2021-02-09 04:32:06+00:00,,2021-02-12 06:42:28+00:00
February 2021 Recovery 2,closed,0,26,2021-03-04 15:15:49+00:00,,2021-03-12 13:54:15+00:00
February 2021 Recovery,closed,0,4,2021-03-04 22:30:13+00:00,,2021-03-05 09:35:12+00:00
April 2021,closed,0,803,2021-03-08 12:18:31+00:00,,2021-05-06 05:57:24+00:00
February 2021 Recovery 3,closed,0,3,2021-03-15 10:17:48+00:00,,2021-03-15 21:14:01+00:00
May 2021,closed,0,850,2021-03-29 13:54:10+00:00,,2021-06-22 15:16:22+00:00
March 2021 Recovery,closed,0,8,2021-04-01 15:59:01+00:00,,2021-04-21 12:48:15+00:00
March 2021 Recovery 2,closed,0,9,2021-04-09 15:04:09+00:00,,2021-04-21 12:48:11+00:00
June 2021,closed,0,659,2021-04-13 15:26:19+00:00,,2021-07-09 06:58:20+00:00
April 2021 Recovery 2,closed,0,17,2021-05-06 15:14:10+00:00,,2021-05-18 11:47:57+00:00
April 2021 Recovery,closed,0,2,2021-05-10 09:46:17+00:00,,2021-05-12 10:00:18+00:00
July 2021,closed,0,465,2021-06-10 17:15:49+00:00,,2021-08-09 06:00:40+00:00
May 2021 Recovery,closed,0,16,2021-06-11 09:35:30+00:00,,2021-06-22 15:16:25+00:00
August 2021,closed,0,491,2021-06-24 11:45:30+00:00,,2021-09-03 07:30:02+00:00
June 2021 Recovery 2,closed,0,15,2021-07-09 03:10:20+00:00,,2021-08-11 11:36:57+00:00
June 2021 Recovery,closed,0,3,2021-07-09 11:48:55+00:00,,2021-07-14 05:42:16+00:00
September 2021,closed,0,522,2021-07-20 16:31:09+00:00,,2021-10-11 12:13:24+00:00
July 2021 Recovery,closed,0,15,2021-08-05 21:00:24+00:00,,2021-08-23 13:44:00+00:00
October 2021,closed,0,506,2021-08-31 15:06:48+00:00,,2021-11-08 10:00:45+00:00
August 2021 Recovery,closed,0,21,2021-09-03 18:51:50+00:00,,2021-09-23 14:25:58+00:00
August 2021 Recovery 2,closed,0,13,2021-09-15 21:07:25+00:00,,2021-09-23 14:25:55+00:00
November 2021,closed,0,572,2021-10-01 16:48:47+00:00,,2021-12-13 13:24:36+00:00
September 2021 Recovery,closed,0,13,2021-10-12 07:26:20+00:00,,2021-10-18 15:57:58+00:00
September 2021 Recovery 2,closed,0,9,2021-10-14 15:46:06+00:00,,2021-10-25 06:47:19+00:00
January 2022,closed,0,841,2021-10-28 16:28:21+00:00,,2022-02-09 06:30:10+00:00
October 2021 Recovery,closed,0,2,2021-11-04 13:35:20+00:00,,2021-11-09 18:20:54+00:00
October 2021 Recovery 2,closed,0,25,2021-11-09 14:37:58+00:00,,2021-11-12 08:39:41+00:00
October 2021 Recovery 3,closed,0,6,2021-11-12 21:26:39+00:00,,2021-11-19 10:24:28+00:00
November 2021 Recovery,closed,0,7,2021-12-09 18:54:16+00:00,,2021-12-31 12:04:33+00:00
November 2021 Recovery 2,closed,0,22,2021-12-12 04:51:46+00:00,,2021-12-31 12:04:31+00:00
February 2022,closed,0,624,2021-12-14 16:57:28+00:00,,2022-03-08 00:59:53+00:00
November 2021 Recovery 3,closed,0,0,2022-01-03 16:47:23+00:00,,2022-01-25 13:17:47+00:00
January 2022 Recovery 1,closed,0,4,2022-02-04 00:04:23+00:00,,2022-02-09 06:30:13+00:00
January 2022 Recovery 2,closed,0,27,2022-02-04 00:06:17+00:00,,2022-02-12 08:54:56+00:00
February 2022 Recovery 1,closed,0,4,2022-03-04 18:58:45+00:00,,2022-03-10 10:31:36+00:00
February 2022 Recovery 2,closed,0,16,2022-03-05 09:07:09+00:00,,2022-03-15 15:28:45+00:00
March 2022 Recovery,closed,0,25,2022-03-30 11:12:41+00:00,,2022-04-07 17:50:50+00:00
March 2022 Recovery 2,closed,0,2,2022-04-07 13:45:49+00:00,,2022-04-12 20:21:28+00:00
May 2022 Recovery 1,closed,0,7,2022-06-09 19:00:44+00:00,,2022-06-15 17:54:03+00:00
June 2022 Recovery 1,closed,0,9,2022-07-08 14:16:02+00:00,,2022-07-12 17:05:00+00:00
June 2022 Recovery 2,closed,0,9,2022-07-11 17:37:05+00:00,,2022-07-18 20:39:36+00:00
September 2022,closed,0,1293,2022-07-27 06:10:28+00:00,,2022-10-06 18:54:32+00:00
July 2022 Recovery,closed,0,18,2022-08-04 12:24:45+00:00,,2022-08-10 18:03:28+00:00
July 2022 Recovery 2,closed,0,8,2022-08-10 11:59:24+00:00,,2022-08-17 18:11:39+00:00
July 2022 Recovery 3,closed,0,4,2022-08-30 09:06:23+00:00,,2022-09-02 10:24:03+00:00
August 2022 Recovery 1,closed,0,4,2022-09-02 17:16:27+00:00,,2022-09-13 19:58:44+00:00
August 2022 Recovery 2,closed,0,28,2022-09-06 20:44:21+00:00,,2022-09-15 18:04:24+00:00
November 2022,closed,1,1169,2022-09-29 05:19:08+00:00,,2022-12-15 13:03:30+00:00
September Patch Tuesday,closed,0,0,2022-10-07 06:27:30+00:00,,2022-10-07 06:27:30+00:00
September 2022 Recovery 1,closed,0,6,2022-10-07 06:30:40+00:00,,2022-10-12 06:22:08+00:00
September 2022 Recovery 2,closed,0,10,2022-10-07 06:30:50+00:00,,2022-10-13 18:15:47+00:00
October Patch Tuesday,closed,0,0,2022-10-12 06:30:49+00:00,,2022-10-12 06:30:49+00:00
October 2022 Recovery 1,closed,0,12,2022-11-07 20:54:35+00:00,,2022-11-09 19:23:02+00:00
February 2023,closed,0,831,2022-11-30 16:32:21+00:00,,2023-02-24 17:17:10+00:00
November 2022 Recovery 1,closed,0,33,2022-12-06 21:37:26+00:00,,2022-12-15 13:03:26+00:00
November 2022 Recovery 2,closed,0,6,2022-12-19 09:53:54+00:00,,2022-12-20 19:08:03+00:00
January 2023 Recovery 1,closed,0,18,2023-02-01 19:11:41+00:00,,2023-02-09 19:10:01+00:00
February 2023 Recovery 1,closed,0,19,2023-03-01 14:16:32+00:00,,2023-03-09 18:25:19+00:00
February 2023 Recovery 2,closed,0,3,2023-03-13 10:18:13+00:00,,2023-03-15 16:06:00+00:00
March 2023 Recovery 1,closed,0,7,2023-04-03 18:44:40+00:00,,2023-04-05 17:18:58+00:00
March 2023 Recovery 2,closed,0,2,2023-04-04 12:21:49+00:00,,2023-04-11 18:02:52+00:00
March 2023 Recovery 3,closed,0,8,2023-04-11 16:13:55+00:00,,2023-04-12 17:22:43+00:00
April 2023 Recovery 2,closed,0,20,2023-05-04 07:27:23+00:00,,2023-05-12 01:26:06+00:00
May 2023 Recovery 2,closed,0,14,2023-06-08 18:47:43+00:00,,2023-06-15 16:48:52+00:00
June 2023 Recovery 1,closed,0,18,2023-07-02 15:59:49+00:00,,2023-07-13 17:09:05+00:00
June 2023 Recovery 2,closed,0,4,2023-07-27 13:16:49+00:00,,2023-07-27 23:44:19+00:00
July 2023 Recovery 1,closed,0,5,2023-08-09 13:01:33+00:00,,2023-08-10 17:17:04+00:00
August 2023 Recovery 1,closed,0,1,2023-09-07 19:18:13+00:00,,2023-09-13 06:27:48+00:00
August 2023 Recovery 2,closed,0,8,2023-09-12 15:11:50+00:00,,2023-09-18 06:19:53+00:00
August 2023 Recovery 3,closed,0,1,2023-10-02 14:23:28+00:00,,2023-10-02 15:39:11+00:00
September 2023 Recovery 1,closed,0,16,2023-10-04 16:45:39+00:00,,2023-10-11 21:29:21+00:00
November 2023 Recovery 1,closed,0,10,2023-12-08 19:43:11+00:00,,2023-12-13 23:20:54+00:00
November 2023 Recovery 2,closed,0,2,2024-01-18 10:17:56+00:00,,2024-01-29 10:54:57+00:00
February 2024 Recovery 1,closed,0,4,2024-02-28 19:30:01+00:00,,2024-03-07 18:29:51+00:00
March 2024 Recovery 1,closed,0,12,2024-04-05 05:49:21+00:00,,2024-04-11 17:10:18+00:00
April 2024 Recovery 1,closed,0,3,2024-05-03 08:44:58+00:00,,2024-05-09 17:33:46+00:00
May 2024 Recovery 1,closed,0,12,2024-06-07 14:12:44+00:00,,2024-06-13 17:28:28+00:00
May 2024 Recovery 2,closed,0,6,2024-06-17 13:25:53+00:00,,2024-06-19 16:35:00+00:00
June 2024 Recovery 1,closed,0,11,2024-07-03 10:57:39+00:00,,2024-07-11 13:40:46+00:00
July 2024 Recovery 1,closed,0,10,2024-08-02 12:30:17+00:00,,2024-08-08 16:23:17+00:00
August 2024 Recovery 2,closed,0,0,2024-09-17 21:30:19+00:00,,2024-09-19 14:34:01+00:00
August 2024 Recovery 3,closed,0,0,2024-09-19 12:58:31+00:00,,2024-09-21 02:22:52+00:00
September 2024 Recovery 1,closed,0,1,2024-10-02 22:22:11+00:00,,2024-10-13 09:22:51+00:00
September 2024 Recovery 2,closed,0,16,2024-10-03 04:10:27+00:00,,2024-10-13 09:22:47+00:00
September 2024 Recovery 3,closed,0,0,2024-10-11 08:00:13+00:00,,2024-10-17 08:25:16+00:00
March 2025 Recovery 3,closed,0,3,2025-04-15 13:32:41+00:00,,2025-04-16 17:35:07+00:00
April 2025 Recovery 2,closed,0,11,2025-05-07 07:54:16+00:00,,2025-05-19 20:49:17+00:00
April 2025 Recovery 3,closed,0,4,2025-05-22 07:36:55+00:00,,2025-06-03 19:58:15+00:00
May 2025 Recovery 2,closed,0,2,2025-06-23 15:10:05+00:00,,2025-06-25 20:09:46+00:00
May 2025 Copilot Recovery 3,closed,1,0,2025-06-25 20:09:40+00:00,,2025-07-11 09:43:36+00:00
June 2025 Recovery 1,closed,0,17,2025-07-09 13:34:32+00:00,,2025-07-16 14:35:40+00:00
June 2025 Recovery 2,closed,0,4,2025-07-17 08:14:14+00:00,,2025-07-23 17:18:01+00:00
June 2025 Recovery 3,closed,0,4,2025-07-29 02:05:19+00:00,,2025-07-29 17:14:40+00:00
August 2025 Recovery 1,closed,0,12,2025-09-11 18:02:26+00:00,,2025-09-18 01:39:19+00:00
August 2025 Recovery 2,closed,0,6,2025-09-23 12:15:34+00:00,,2025-09-26 08:28:35+00:00
August 2025 Recovery 3,closed,0,2,2025-09-26 10:35:54+00:00,,2025-10-02 17:23:08+00:00
November 2025,open,6,1,2025-10-03 00:47:04+00:00,,
August 2025 Chat Recovery 5,closed,0,1,2025-10-06 12:51:34+00:00,,2025-10-06 17:07:14+00:00
September 2025 Chat Recovery 1,closed,0,1,2025-10-13 19:50:03+00:00,,2025-10-14 20:17:00+00:00
September 2025 Recovery 1,open,1,4,2025-10-13 19:50:16+00:00,,
September 2025 Chat Recovery 2,open,1,1,2025-10-14 22:21:59+00:00,,
Nov 2015 - mid,closed,0,12,2015-10-13 23:36:35+00:00,2015-11-17 08:00:00+00:00,2015-11-23 08:44:08+00:00
Nov 2015 - 0.10.3,closed,0,4,2015-11-26 14:03:26+00:00,2015-11-30 08:00:00+00:00,2015-12-02 06:47:47+00:00
Dec 2015,closed,0,298,2015-10-13 23:36:42+00:00,2015-12-18 08:00:00+00:00,2015-12-18 09:27:45+00:00
Dec 2015 Recovery,closed,0,1,2015-12-19 09:47:55+00:00,2015-12-22 08:00:00+00:00,2015-12-22 07:02:35+00:00
Jan 2016,closed,0,361,2015-10-13 23:36:50+00:00,2016-01-29 08:00:00+00:00,2016-02-01 08:53:58+00:00
March 2016,closed,0,443,2016-02-19 11:08:59+00:00,2016-03-30 07:00:00+00:00,2016-04-03 18:27:49+00:00
April 4th Insiders,closed,0,3,2016-04-04 15:57:40+00:00,2016-04-03 07:00:00+00:00,2016-04-06 10:44:33+00:00
April 11th insiders,closed,0,4,2016-04-11 07:53:06+00:00,2016-04-10 07:00:00+00:00,2016-04-12 13:34:37+00:00
April 2016,closed,0,371,2016-03-09 15:13:38+00:00,2016-04-30 07:00:00+00:00,2016-05-04 06:38:07+00:00
May 2016,closed,0,302,2016-04-19 13:15:12+00:00,2016-05-28 07:00:00+00:00,2016-05-31 08:25:06+00:00
June 2016,closed,0,582,2016-05-18 17:48:57+00:00,2016-06-30 07:00:00+00:00,2016-07-11 08:29:44+00:00
July Stable Recovery,closed,0,7,2016-07-09 11:10:42+00:00,2016-07-15 07:00:00+00:00,2016-07-14 06:20:18+00:00
July 2016,closed,0,391,2016-06-20 07:57:10+00:00,2016-07-27 07:00:00+00:00,2016-08-12 09:02:26+00:00
August Stable Recovery,closed,0,1,2016-08-12 09:04:27+00:00,2016-08-15 07:00:00+00:00,2016-08-16 08:36:52+00:00
August 2016,closed,0,514,2016-06-29 08:56:21+00:00,2016-09-02 07:00:00+00:00,2016-09-27 14:17:34+00:00
August Recovery 2016,closed,0,6,2016-09-09 07:45:12+00:00,2016-09-16 07:00:00+00:00,2016-09-19 07:31:20+00:00
September 2016,closed,0,470,2016-08-16 05:20:24+00:00,2016-09-30 07:00:00+00:00,2016-10-14 14:18:36+00:00
October 2016,closed,0,448,2016-09-21 11:16:13+00:00,2016-10-30 07:00:00+00:00,2016-11-02 19:54:13+00:00
September Recovery 2016,closed,0,6,2016-10-05 07:56:41+00:00,2016-10-31 07:00:00+00:00,2016-10-14 14:18:40+00:00
October Recovery 2016,closed,0,11,2016-11-07 14:33:36+00:00,2016-11-10 08:00:00+00:00,2016-12-01 05:33:40+00:00
November 2016,closed,1,694,2016-09-26 20:19:36+00:00,2016-12-09 08:00:00+00:00,2016-12-15 08:14:32+00:00
November Recovery 2016,closed,0,5,2016-12-15 08:14:25+00:00,2016-12-22 08:00:00+00:00,2016-12-21 17:05:03+00:00
January 2017,closed,0,738,2016-11-14 11:19:32+00:00,2017-01-29 08:00:00+00:00,2017-02-03 06:13:52+00:00
February 2017,closed,0,503,2017-01-13 07:56:02+00:00,2017-02-28 08:00:00+00:00,2017-03-02 11:08:49+00:00
March 2017,closed,0,663,2017-02-13 07:33:31+00:00,2017-03-31 07:00:00+00:00,2017-04-06 09:12:10+00:00
March Recovery 2017 (2),closed,0,14,2017-04-07 07:31:07+00:00,2017-04-12 07:00:00+00:00,2017-04-18 08:35:56+00:00
April 2017,closed,0,527,2017-03-08 07:58:34+00:00,2017-04-30 07:00:00+00:00,2017-05-05 14:59:35+00:00
May 2017,closed,0,792,2017-04-13 08:16:51+00:00,2017-06-02 07:00:00+00:00,2017-06-09 14:14:04+00:00
May Recovery 2017,closed,0,6,2017-06-09 08:24:19+00:00,2017-06-16 07:00:00+00:00,2017-06-21 04:27:27+00:00
June 2017,closed,0,551,2017-05-16 07:04:24+00:00,2017-06-30 07:00:00+00:00,2017-07-12 04:06:38+00:00
July 2017,closed,0,498,2017-06-14 13:05:53+00:00,2017-07-31 07:00:00+00:00,2017-08-12 16:14:10+00:00
August 2017,closed,0,493,2017-07-07 14:09:46+00:00,2017-08-31 07:00:00+00:00,2017-09-11 13:31:12+00:00
September 2017,closed,0,529,2017-08-02 14:09:12+00:00,2017-09-30 07:00:00+00:00,2017-10-11 08:03:14+00:00
October 2017,closed,0,544,2017-09-04 12:33:25+00:00,2017-11-03 07:00:00+00:00,2017-11-09 16:59:06+00:00
October Recovery 2017,closed,0,11,2017-11-09 16:49:01+00:00,2017-11-20 08:00:00+00:00,2017-11-17 14:02:29+00:00
November Recovery 2017,closed,0,7,2017-12-15 09:44:52+00:00,2017-12-22 08:00:00+00:00,2017-12-23 07:12:32+00:00
January 2018,closed,0,733,2017-11-23 09:16:43+00:00,2018-01-31 08:00:00+00:00,2018-02-08 06:56:59+00:00
February 2018,closed,0,495,2017-11-23 09:16:58+00:00,2018-02-28 08:00:00+00:00,2018-03-08 08:18:06+00:00
March 2018,closed,0,555,2018-02-15 03:26:11+00:00,2018-03-30 07:00:00+00:00,2018-04-06 05:07:26+00:00
April 2018,closed,0,470,2018-03-14 10:30:19+00:00,2018-05-04 07:00:00+00:00,2018-05-08 18:14:51+00:00
